id,key,name,canonical_domain,website,pages_crawled,emails_n,has_careers,has_pricing,category,ai_tier,score,error,elapsed_s
40766,morson-edge,Morson Edge,morsongroup.com,https://www.morsongroup.com,1,0,,,CONSULTANCY,0,0.37,,14.52
40768,ingestible-research-allenai,Allen Institute for AI (AI2),allenai.org,https://allenai.org,14,3,Y,,PRODUCT,2,0.761,,32.08
40769,ingestible-research-eleuther,EleutherAI,eleuther.ai,https://www.eleuther.ai,14,0,,,PRODUCT,2,0.836,,26.02
40770,ingestible-research-mila,Mila — Quebec AI Institute,mila.quebec,https://mila.quebec,14,2,,,CONSULTANCY,2,0.669,,36.07
40771,ingestible-research-laion,LAION,laion.ai,https://laion.ai,14,1,,,PRODUCT,2,0.831,,26.12
40772,ingestible-research-c4ai,Cohere for AI (C4AI),cohere.com,https://cohere.com/research,14,6,,,PRODUCT,2,0.841,,48.05
40773,ingestible-research-bigscience,BigScience Workshop,bigscience.huggingface.co,https://bigscience.huggingface.co,1,0,,,,,0.025,,7.4
40774,ingestible-research-baai,BAAI — Beijing Academy of Artificial Intelligence,baai.ac.cn,https://www.baai.ac.cn/english.html,14,1,,,PRODUCT,2,0.677,,38.8
40775,ingestible-research-nous,Nous Research (Ingestible scope),nousresearch.com,https://nousresearch.com,14,1,Y,,PRODUCT,2,0.786,,26.5
40776,ingestible-research-stanford-crfm,Stanford CRFM,crfm.stanford.edu,https://crfm.stanford.edu,1,0,,,,,0.025,,7.65
40777,ingestible-research-cmu-lti,CMU Language Technologies Institute,lti.cs.cmu.edu,https://www.lti.cs.cmu.edu,14,14,,,PRODUCT,2,0.736,,34.66
40778,ingestible-research-msr,Microsoft Research,microsoft.com,https://www.microsoft.com/en-us/research/,14,0,Y,,PRODUCT,1,0.691,,45.43
40779,ingestible-research-fair,Meta FAIR,ai.meta.com,https://ai.meta.com/research/,14,0,,,PRODUCT,2,0.842,,81.01
40780,ingestible-research-ibm,IBM Research AI,research.ibm.com,https://research.ibm.com,14,1,,,PRODUCT,2,0.841,,34.16
40781,ingestible-research-hf,Hugging Face Research,huggingface.co,https://huggingface.co/research,14,0,,,,,0.025,,16.05
40782,ingestible-research-primer,Primer AI (Primer Labs),primer.ai,https://primer.ai,14,0,,,PRODUCT,2,0.839,,26.32
40783,vadim:gong-io,Gong,gong.io,https://www.gong.io,14,0,,,PRODUCT,2,0.841,,42.79
40784,vadim:notion-so,Notion,notion.so,https://www.notion.so,1,0,,,PRODUCT,1,0.627,,16.94
40785,vadim:airtable-com,Airtable,airtable.com,https://www.airtable.com,14,1,,,PRODUCT,1,0.744,,33.4
40786,vadim:retool-com,Retool,retool.com,https://retool.com,14,0,,,PRODUCT,1,0.741,,35.75
40787,vadim:linear-app,Linear,linear.app,https://linear.app,14,0,,Y,PRODUCT,1,0.791,,31.57
40788,vadim:supabase-com,Supabase,supabase.com,https://supabase.com,14,3,,,PRODUCT,1,0.741,,32.81
40789,vadim:atlassian-com,Atlassian,atlassian.com,https://www.atlassian.com,14,0,,,PRODUCT,1,0.747,,39.6
40790,vadim:hubspot-com,HubSpot,hubspot.com,https://www.hubspot.com,14,0,,,PRODUCT,1,0.746,,44.86
40791,vadim:twilio-com,Twilio,twilio.com,https://www.twilio.com,14,0,,Y,PRODUCT,1,0.796,,31.77
40792,vadim:gitlab-com,GitLab,gitlab.com,https://about.gitlab.com,14,0,,Y,PRODUCT,1,0.794,,35.63
